speaker,text,start_time,end_time,cleaned_text,is_question,is_exclamation,contains_negation,contains_reference,contains_agreement,contains_disagreement,contains_emotion_words,contains_personal_attack,contains_group_identity,contains_emphasis,contains_conditional,sentence_length
BIDEN,By the way-,,,by the way-,False,False,False,False,False,False,False,False,False,False,False,3
TRUMP,… they will have the vaccine very soon.,,,they will have the vaccine very soon.,False,False,False,True,False,False,False,False,True,True,False,7
WALLACE,Let him finish.,,,let him finish.,False,False,False,True,False,False,False,False,False,False,False,3
BIDEN,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",,,"do you believe for a moment what he s telling you in light of all the lies he s told you about the whole issue relating to covid? he still hasn t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in february, and he didn t even tell you. he s on record as saying it. he panicked or he just looked at the stock market. one of the two. because guess what? a lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",False,False,False,True,False,False,False,False,False,False,True,104
WALLACE,Mr. President?,,,mr. president?,True,False,False,False,False,False,False,False,False,False,False,2
TRUMP,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word.",,,"did you use the word smart? so you said you went to delaware state, but you forgot the name of your college. you didn t go to delaware state. you graduated either the lowest or almost the lowest in your class. don t ever use the word smart with me. don t ever use that word.",False,False,False,True,False,False,False,False,False,False,False,56
BIDEN,"Oh, give me a break.",,,", give me a break.",False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing.",,,"because what? there s nothing smart about you, joe. 47 years you ve done nothing.",False,False,False,True,False,False,False,False,False,False,False,15
BIDEN,"Well, let’s have this debate-",,,"well, let s have this debate-",False,False,False,False,False,False,False,False,False,False,False,6
TRUMP,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy in the history of our country. And by the way, now it’s being built again and it’s going up fast.",,,"let me just tell you something, joe. if you would have had the charge of what i was put through, i had to close the greatest economy in the history of our country. and by the way, now it s being built again and it s going up fast.",False,False,False,True,False,False,False,False,False,False,True,49
WALLACE,"We’ll get to the economy in the next segment, sir.",,,"we ll get to the economy in the next segment, sir.",False,False,False,False,False,False,False,False,True,False,False,11
TRUMP,It’s going up fast. I look forward to talking about it.,,,it s going up fast. i look forward to talking about it.,False,False,False,False,False,False,False,False,False,False,False,12
WALLACE,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?",,,"okay. when it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. i want to quickly go through several of those. reopenings. vice president biden, you have been much more reluctant than president trump about reopening the economy and schools. why, sir?",True,False,False,True,False,False,False,False,False,True,False,75
BIDEN,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-",,,"because he doesn t have a plan. if i were running it, i d know what the plan is. you ve got to provide these businesses the ability to have the money to be able to reopen with the ppe, as well as with the sanitation they need. you have to provide them classic-",False,False,False,True,False,False,False,False,True,False,True,54
TRUMP,Tell that to Nancy Pelosi.,,,tell that to nancy pelosi.,False,False,False,False,False,False,False,False,False,False,False,5
BIDEN,Will he just shush for a minute?,,,will he just shush for a minute?,True,False,False,True,False,False,False,False,False,False,False,7
TRUMP,"Tell that to Nancy Pelosi, and Schumer [crosstalk] Chuck.",,,"tell that to nancy pelosi, and schumer [crosstalk] chuck.",False,False,False,False,False,False,False,False,False,False,False,9
BIDEN,"Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it.",,,"nancy pelosi and schumer, they have a plan. he won t even meet with them. the republicans won t meet in the senate. he sits in his golf course. well, i mean, literally, think about it. think about it.",False,False,False,True,False,False,False,False,True,False,False,39
TRUMP,"You probably play more than I do, Joe.",,,"you probably play more than i do, joe.",False,False,False,True,False,False,False,False,False,False,False,8
WALLACE,What about this question of reopenings and the fact-,,,what about this question of reopenings and the fact-,False,False,False,False,False,False,False,False,False,False,False,9
TRUMP,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-",,,"well, he wants to shut down this country and i want to keep it open, and we did a great thing by shutting it down-",False,False,False,True,False,False,False,False,True,False,False,25
BIDEN,You just admitted you’d shut it down.,,,you just admitted you d shut it down.,False,False,False,True,False,False,False,False,False,False,False,8
TRUMP,"Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd.",,,"wait a minute, joe. let me shut you down for a second, joe, just for one second. he wants to shut down the country. we just went through it. we had to, because we didn t know anything about the disease. now we ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. we learned a lot. young children aren t, even younger people aren t. we ve learned a lot, but he wants to shut it down. more people will be hurt by continuing. if you look at pennsylvania, if you look at certain states that have been shut down, they have democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on november 3rd.",False,False,False,True,False,False,False,False,True,True,True,136
WALLACE,All right. I want to move onto another-,,,all right. i want to move onto another-,False,False,False,False,False,False,False,False,False,False,False,8
TRUMP,Because it’s a political thing.,,,because it s a political thing.,False,False,False,False,False,False,False,False,False,False,False,6
WALLACE,I want to move onto another subject.,,,i want to move onto another subject.,False,False,False,False,False,False,False,False,False,False,False,7
BIDEN,I got to respond to that.,,,i got to respond to that.,False,False,False,False,False,False,False,False,False,False,False,6
WALLACE,I want to move-,,,i want to move-,False,False,False,False,False,False,False,False,False,False,False,4
TRUMP,But those states-,,,but those states-,False,False,False,False,False,False,False,False,False,False,False,3
WALLACE,"Gentlemen, I want to move onto another subject.",,,"gentlemen, i want to move onto another subject.",False,False,False,False,False,False,False,False,False,False,False,8
TRUMP,Those states are not doing well that are shut down right now.,,,those states are not doing well that are shut down right now.,False,False,True,False,True,True,False,False,False,False,False,12
BIDEN,I got to respond to that.,,,i got to respond to that.,False,False,False,False,False,False,False,False,False,False,False,6
TRUMP,He wants to shut down the whole country.,,,he wants to shut down the whole country.,False,False,False,True,False,False,False,False,False,False,False,8
WALLACE,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?",,,"president trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. and in fact, recently you have cited the issue of waiters touching their masks and touching plates. are you questioning the efficacy of masks?",True,False,False,True,False,False,False,False,False,False,False,40
TRUMP,"No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-",,,"no, i think masks are okay. you have to understand, if you look i mean, i have a mask right here. i put a mask on when i think i need it. tonight, as an example, everybody s had a test and you ve had social distancing and all of the things that you have to, but i wear masks-",False,False,False,True,True,False,False,False,False,False,True,60
BIDEN,Just like your rally.,,,just your rally.,False,False,False,False,False,False,False,False,False,False,False,3
TRUMP,"… when needed. When needed, I wear masks.",,,"when needed. when needed, i wear masks.",False,False,False,False,False,False,False,False,False,False,False,7
WALLACE,Okay. Let me ask-,,,okay. let me ask-,False,False,False,False,False,False,False,False,False,False,False,4
TRUMP,"I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-",,,"i don t wear a mask him. every time you see him, he s got a mask. he could be speaking 200 feet away from him and he shows up with the biggest mask i ve ever seen. i will say this-",False,False,False,True,False,False,False,False,False,False,False,42
WALLACE,"Vice President Biden, go ahead, sir.",,,"vice president biden, go ahead, sir.",False,False,False,False,False,False,False,False,False,False,False,6
BIDEN,"Look, the way to open businesses is give them the wherewithal to be able to open. We provided money, the-",,,"look, the way to open businesses is give them the wherewithal to be able to open. we provided money, the-",False,False,False,False,False,False,False,False,True,False,False,20
WALLACE,"But I was asking you, sir, about masks.",,,"but i was asking you, sir, about masks.",False,False,False,False,False,False,False,False,False,False,False,8
BIDEN,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters.",,,"well, masks make a big difference. his own head of the cdc said if we just wore masks between now, if everybody wore a mask and social distanced between now and january, we d probably save up to 100,000 lives. it matters. it matters.",False,False,False,False,False,False,False,False,True,False,True,44
TRUMP,And they’ve also said the opposite. They’ve also said-,,,and they ve also said the opposite. they ve also said-,False,False,False,True,False,False,False,False,True,False,False,11
BIDEN,No serious person has said the opposite. No serious person.,,,no serious person has said the opposite. no serious person.,False,False,True,False,False,True,False,False,False,False,False,10
WALLACE,Okay. I want to ask you-,,,okay. i want to ask you-,False,False,False,False,False,False,False,False,False,False,False,6
TRUMP,Dr. Fauci. Dr. Fauci said the opposite.,,,dr. fauci. dr. fauci said the opposite.,False,False,False,False,False,False,False,False,False,False,False,7
BIDEN,He did not say the opposite.,,,he did not say the opposite.,False,False,True,True,False,True,False,False,False,False,False,6
WALLACE,"I want to ask you, we’ve got a little more than a minute left in this segment.",,,"i want to ask you, we ve got a little more than a minute left in this segment.",False,False,False,False,False,False,False,False,True,False,False,18
TRUMP,"He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”",,,"he said very strongly, masks are not good. then he changed his mind. he said, masks are good.",False,False,True,True,False,True,False,False,False,True,False,18
WALLACE,I want to ask-,,,i want to ask-,False,False,False,False,False,False,False,False,False,False,False,4
TRUMP,I’m okay with masks. I’m not fighting masks.,,,i m okay with masks. i m not fighting masks.,False,False,True,False,False,True,False,False,False,False,False,10
WALLACE,"I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people.",,,"i want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. president trump, you re holding large rallies with crowds packed together, thousands of people.",False,False,False,True,False,False,False,False,False,False,False,37
TRUMP,Outside.,,,outside.,False,False,False,False,False,False,False,False,False,False,False,1
WALLACE,"Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-",,,"outside. yes, sir. agreed. vice president biden, you are holding much smaller events with-",False,False,False,True,False,False,False,False,False,False,False,14
TRUMP,Because nobody will show up.,,,because nobody will show up.,False,False,False,False,False,False,False,False,False,False,False,5
WALLACE,… people with masks.,,,people with masks.,False,False,False,False,False,False,False,False,False,False,False,3
TRUMP,"Well, it’s true. Nobody shows up to his rallies.",,,"well, it s true. nobody shows up to his rallies.",False,False,False,False,False,False,False,False,False,False,False,10
WALLACE,"All right. In any case, why you holding the big rallies? Why you not? You go first, sir.",,,"all right. in any case, why you holding the big rallies? why you not? you go first, sir.",False,False,False,True,False,False,False,False,False,False,False,18
TRUMP,Because people want to hear what I have to say. I mean-,,,because people want to hear what i have to say. i mean-,False,False,False,False,False,False,False,False,False,False,False,12
WALLACE,But are not worried about us spreading disease?,,,but are not worried about us spreading disease?,True,False,True,False,False,True,False,False,True,False,False,8
TRUMP,"… I’ve done a great job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-",,,"i ve done a great job as a president, and i ll have 25, 35,000 people show up at airports. we use airports and hangers and we have a lot of people-",False,False,False,False,False,False,False,False,True,False,False,32
WALLACE,"Are you not worried about the disease issues, sir?",,,"are you not worried about the disease issues, sir?",True,False,True,True,False,True,False,False,False,False,False,9
TRUMP,"Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace.",,,"well, so far we have had no problem whatsoever. it s outside. that s a big difference according to the experts. we do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. and joe does the circles and has three people someplace.",False,False,True,True,False,True,False,False,True,False,False,48
BIDEN,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there [crosstalk].",,,"by the way, did you see one of the last big rallies he had? a reporter came up to him to ask him a question, he said, no, no, no. stand back, put on your mask, put on a mask. have you been tested? i m way far away from those other people. that s what he said, i m going to be okay. he s not worried about you. he s not worried about the people out there [crosstalk].",False,False,True,True,False,True,False,False,False,False,False,80
TRUMP,We’ve had no negative effect.,,,we ve had no negative effect.,False,False,True,False,False,True,False,False,True,False,False,6
BIDEN,No negative effect. Come on.,,,no negative effect. come on.,False,False,True,False,False,True,False,False,False,False,False,5
TRUMP,"We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies.",,,"we ve had no negative effect, and we ve had 35, 40,000 people at these rallies.",False,False,True,False,False,True,False,False,True,False,False,16
WALLACE,All right. Do you want to just quickly finish up? Because I want to move on to our next-,,,all right. do you want to just quickly finish up? because i want to move on to our next-,False,False,False,True,False,False,False,False,False,False,False,19
BIDEN,"Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this.",,,"yes, i would. he s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, encouraged them not to. he s a fool on this.",False,False,True,True,False,True,False,True,True,True,False,32
TRUMP,"If you could get the crowds, you would have done the same thing. But you can’t. Nobody cares.",,,"if you could get the crowds, you would have done the same thing. but you can t. nobody cares.",False,False,False,True,False,False,False,False,False,False,True,19
WALLACE,"Gentlemen, can we move on to the-",,,"gentlemen, can we move on to the-",False,False,False,False,False,False,False,False,True,False,False,7
TRUMP,Nobody cares.,,,nobody cares.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"Gentlemen, can we move on to the economy?",,,"gentlemen, can we move on to the economy?",True,False,False,False,False,False,False,False,True,False,False,8
TRUMP,Yes.,,,yes.,False,False,False,False,False,False,False,False,False,False,False,1
WALLACE,"The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-",,,"the economy is, i think it s fair to say, recovering faster than expected from the shutdown-",False,False,False,False,False,False,False,False,False,False,False,17
TRUMP,Much faster.,,,much faster.,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first.",,,"in the second quarter. the unemployment rate fell to 8.4% last month. the federal reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. president trump, you say we are in a v-shaped recovery. vice president biden, you say it s more of a k-shape. what difference does that mean to the american people in terms of the economy? president trump, in this segment you go first.",False,False,True,True,False,True,False,False,True,False,False,81
TRUMP,"So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four-month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country.",,,"so we built the greatest economy in history. we closed it down because of the china plague. when the plague came in, we closed it down, which was very hard psychologically to do. he didn t think we should close it down and he was wrong. again, two million people would be dead now instead of still, 204,000 people is too much. one person is too much. should have never happened from china. but what happened is we closed it down and now we re reopening and we re doing record business. we had 10.4 million people in a four-month period that we ve put back into the workforce. that s a record the likes of which nobody s ever seen before. and he wants to close down the he will shut it down again. he will destroy this country.",False,False,True,True,False,True,False,False,True,True,False,140
TRUMP,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up.",,,"a lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what s happening at some of your democrat-run states where they have these tough shutdowns. and i m telling you it s because they don t want to open it. one of them came out last week, you saw that, , we re going to open up on november 9th. why november 9th? because it s after the election. they think they re hurting us by keeping them closed. they re hurting people. people know what to do. they can social distance. they can wash their hands, they can wear masks. they can do whatever they want, but they got to open these states up.",False,False,False,True,False,False,False,False,True,False,False,126
TRUMP,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”",,,"when you look at north carolina, when you look, and these governors are under siege, pennsylvania, michigan, and a couple of others, you got to open these states up. it s not fair. you re talking about almost it s being in prison. and you look at what s going on with divorce, look at what s going on with alcoholism and drugs. it s a very, very sad thing. and he ll close down the whole country. this guy will close down the whole country and destroy our country. our country is coming back incredibly well, setting records as it does it. we don t need somebody to come in and say, let s shut it down.",False,False,True,True,False,True,True,False,True,True,False,118
WALLACE,"All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?",,,"all right. your two minutes, sir. we re now moved to you. as i said, posing the question, the president says it s a v-shape recovery, you say it s a k-shaped recovery. what s the difference?",True,False,False,True,False,False,False,False,True,False,False,37
BIDEN,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes.",,,"the difference is millionaires and billionaires him in the middle of the covid crisis have done very well. billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. but you folks at home, you folks living in scranton and claymont and all the small towns and working class towns in america, how well are you doing? this guy paid a total of $750 in taxes.",False,False,False,True,False,False,False,False,False,True,False,74
TRUMP,That’s wrong.,,,that s wrong.,False,False,False,False,False,False,False,False,False,False,False,3
WALLACE,"Sir, wait. No. Sir-",,,"sir, wait. no. sir-",False,False,False,False,False,False,False,False,False,False,False,4
TRUMP,[crosstalk].,,,[crosstalk].,False,False,False,False,False,False,False,False,False,False,False,1
WALLACE,"Yeah, I understand. You’ve agreed to the two minutes, so please let him have it.",,,"yeah, i understand. you ve agreed to the two minutes, so please let him have it.",False,False,False,True,False,False,False,False,False,False,False,16
BIDEN,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history.",,,"do i get my time back? the fact is that he has in fact, worked on this in a way that he s going to be the first president of the united states to leave office, having fewer jobs in his administration than when he became president. fewer jobs than when he became president. first one in american history.",False,False,False,True,False,False,False,False,False,False,False,59
BIDEN,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why doesn’t he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.",,,"secondly, the people who have lost their jobs are those people who have been on the front lines. those people who have been saving our lives, those people who have been out there dying. people who ve been putting themselves in the way to make sure that we could all try to make it. and the idea that he is insisting that we go forward and open when you have almost half the states in america with a significant increase in covid deaths and covid cases in the united states of america, and he wants to open it up more. why is he want to open it up? why doesn t he take care of the you can t fix the economy until you fix the covid crisis. and he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.",False,False,True,True,False,True,False,False,True,False,False,153
BIDEN,"Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his Administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely.",,,"schools. why aren t schools open? because it costs a lot of money to open them safely. they were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn t do that because it s not a national emergency. not a national emergency. they ve done nothing to help small businesses. nothing. they re closing. one in six is now gone. he ought to get on the job and take care of the needs of the american people so we can open safely.",False,False,True,True,False,True,False,False,True,False,False,93
WALLACE,"All right. Your time is up, sir. We are going to get to-",,,"all right. your time is up, sir. we are going to get to-",False,False,False,False,False,False,False,False,True,False,False,13
TRUMP,I have to respond to that.,,,i have to respond to that.,False,False,False,False,False,False,False,False,False,False,False,6
WALLACE,"Well, you both had two minutes, sir.",,,"well, you both had two minutes, sir.",False,False,False,True,False,False,False,False,False,False,False,7
TRUMP,"Excuse me, he made a statement.",,,"excuse me, he made a statement.",False,False,False,True,False,False,False,False,False,False,False,6
WALLACE,And so did you.,,,and so did you.,False,False,False,False,False,False,False,False,False,False,False,4
TRUMP,"No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives.",,,"no, people want their schools open. they don t want to be shut down. they don t want their state shut down. they want their restaurants. i look at new york. it s so sad what s happening in new york. it s almost a ghost town, and i m not sure it can ever recover what they ve done to new york. people want their places open. they want to get back to their lives.",False,False,True,True,False,True,True,False,True,False,False,76
BIDEN,People want to be safe.,,,people want to be safe.,False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,"They’ll be careful, but they want their schools open.",,,"they ll be careful, but they want their schools open.",False,False,False,True,False,False,False,False,True,False,False,10
BIDEN,People want to be safe.,,,people want to be safe.,False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,"I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-",,,"i m the one that brought back football. by the way, i brought back big ten football. it was me and i m very happy to do it-",False,False,False,False,False,False,True,False,False,True,False,28
WALLACE,All right. Let’s-,,,all right. let s-,False,False,False,False,False,False,False,False,False,False,False,4
TRUMP,… and people of Ohio are very proud of me. And you know how I found out? When [crosstalk].,,,and people of ohio are very proud of me. and how i found out? when [crosstalk].,False,False,False,False,False,False,False,False,False,True,False,16
WALLACE,"Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?",,,"gentlemen, we re going to get to your economic plans going forward in a moment, but first, mr. president, as you well know, there s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. i know that you pay a lot of other taxes, but i m asking you this specific question. is it true that you paid $750 in federal income taxes each of those two years?",True,False,False,True,False,False,False,False,True,False,False,92
TRUMP,"I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-",,,"i paid millions of dollars in taxes, millions of dollars of income tax. and let me just tell you, there was a story in one of the papers that paid-",False,False,False,False,False,False,False,False,False,False,False,30
BIDEN,Show us your tax returns.,,,show us your tax returns.,False,False,False,False,False,False,False,False,True,False,False,5
TRUMP,"I paid $38 million one year, I paid $27 million one year.",,,"i paid $38 million one year, i paid $27 million one year.",False,False,False,False,False,False,False,False,False,False,False,12
BIDEN,Show us your tax returns.,,,show us your tax returns.,False,False,False,False,False,False,False,False,True,False,False,5
TRUMP,"You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company.",,,"you ll see it as soon as it s finished, you ll see it. , if you wanted to, go to the board of elections. there s 118 page or so report that says everything i have, every bank i have, i m totally under leveraged because the assets are extremely good, and i built a great company.",False,False,False,True,False,False,False,False,False,True,True,58
WALLACE,"Sir, I’m asking you a specific question, which is-",,,"sir, i m asking you a specific question, which is-",False,False,False,True,False,False,False,False,False,False,False,10
TRUMP,But let me tell you-,,,but let me tell you-,False,False,False,False,False,False,False,False,False,False,False,5
WALLACE,I understand all of that.,,,i understand all of that.,False,False,False,False,False,False,False,False,False,False,False,5
BIDEN,Release your tax return.,,,release your tax return.,False,False,False,False,False,False,False,False,False,False,False,4
WALLACE,I understand all of that-,,,i understand all of that-,False,False,False,False,False,False,False,False,False,False,False,5
TRUMP,Let me-,,,let me-,False,False,False,False,False,False,False,False,False,False,False,2
WALLACE,"No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?",,,"no, mr. president, i m asking you a question. will you tell us how much you paid in federal income taxes in 2016 and 2017?",True,False,False,True,False,False,False,False,True,False,False,25
TRUMP,Millions of dollars.,,,millions of dollars.,False,False,False,False,False,False,False,False,False,False,False,3
WALLACE,You paid millions of dollars in-,,,you paid millions of dollars in-,False,False,False,True,False,False,False,False,False,False,False,6
TRUMP,"Millions of dollars, yes.",,,"millions of dollars, yes.",False,False,False,False,False,False,False,False,False,False,False,4
WALLACE,So not 750?,,,so not 750?,True,False,True,False,False,True,False,False,False,False,False,3
TRUMP,Millions of dollars. And you’ll get to see it. And you’ll get to see it.,,,millions of dollars. and you ll get to see it. and you ll get to see it.,False,False,False,True,False,False,False,False,False,False,False,17
BIDEN,When?,,,when?,True,False,False,False,False,False,False,False,False,False,False,1
TRUMP,But let me just tell you-,,,but let me just tell you-,False,False,False,False,False,False,False,False,False,False,False,6
BIDEN,In [crosstalk]?,,,in [crosstalk]?,True,False,False,False,False,False,False,False,False,False,False,2
TRUMP,"Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama Administration, if you can believe that. Now the man got fired right after that happened, but that’s-",,,"chris, let me just say something, that it was the tax laws. i don t want to pay tax. before i came here, i was a private developer, i was a private business people. every other private person, unless they re stupid, they go through the laws, and that s what it is. he passed a tax bill that gave us all these privileges for depreciation and for tax credits. we built the building and we get tax credits, the hotel on pennsylvania avenue. which by the way, was given to me by the obama administration, if you can believe that. now the man got fired right after that happened, but that s-",False,False,False,True,True,False,False,False,True,False,True,113
WALLACE,"Vice President Biden, you want to respond?",,,"vice president biden, you want to respond?",True,False,False,True,False,False,False,False,False,False,False,7
